Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-18 09:52:41,2018-09-18 09:56:39,3m - 58.437s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-18 09:52:41,2018-09-18 09:52:51,9.882s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:52:41,2018-09-18 09:52:42,1.326s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:52:42,2018-09-18 09:52:43,0.231s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:52:43,2018-09-18 09:52:46,2.952s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:46,2018-09-18 09:52:46,0.038s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:52:46,2018-09-18 09:52:46,0.194s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:52:46,2018-09-18 09:52:46,0.093s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:46,2018-09-18 09:52:46,0.213s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:52:46,2018-09-18 09:52:50,4.257s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:50,2018-09-18 09:52:50,0.016s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:50,2018-09-18 09:52:51,0.130s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:51,2018-09-18 09:52:51,0.139s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:51,2018-09-18 09:52:51,0.027s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 09:52:51,2018-09-18 09:52:51,0.089s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-18 09:52:51,2018-09-18 09:53:14,23.587s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:52:51,2018-09-18 09:52:52,0.669s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:52:52,2018-09-18 09:52:52,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:52:52,2018-09-18 09:52:54,1.945s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:54,2018-09-18 09:52:54,0.018s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:52:54,2018-09-18 09:52:54,0.161s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:52:54,2018-09-18 09:52:54,0.086s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:54,2018-09-18 09:52:54,0.192s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:52:54,2018-09-18 09:52:58,3.468s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:58,2018-09-18 09:52:58,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:58,2018-09-18 09:52:58,0.156s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:58,2018-09-18 09:52:58,0.079s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:52:58,2018-09-18 09:52:58,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:52:58,2018-09-18 09:53:14,16.248s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.020s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.017s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.011s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.015s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:14,0.083s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:23,8.231s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:14,2018-09-18 09:53:15,0.609s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:53:15,2018-09-18 09:53:15,0.218s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:53:15,2018-09-18 09:53:18,2.372s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:18,2018-09-18 09:53:18,0.019s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:18,2018-09-18 09:53:18,0.201s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:18,2018-09-18 09:53:18,0.098s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:18,2018-09-18 09:53:18,0.202s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:18,2018-09-18 09:53:21,3.188s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:53:21,2018-09-18 09:53:22,0.113s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.139s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.071s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.081s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.077s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.195s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.016s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.070s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.015s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:22,0.083s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:22,2018-09-18 09:53:23,0.128s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:23,0.019s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:23,0.015s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:23,0.084s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilterReset,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:30,7.574s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:23,0.592s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:53:23,2018-09-18 09:53:24,0.216s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:53:24,2018-09-18 09:53:26,2.100s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:26,2018-09-18 09:53:26,0.046s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:26,2018-09-18 09:53:26,0.167s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:26,2018-09-18 09:53:26,0.094s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:26,2018-09-18 09:53:26,0.186s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:53:26,2018-09-18 09:53:29,3.168s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:29,2018-09-18 09:53:29,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:29,2018-09-18 09:53:29,0.134s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:29,2018-09-18 09:53:30,0.088s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.012s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.091s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.236s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.210s,PASSED
verifyElementNotPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.056s,PASSED
verifyElementNotPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.015s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:30,0.081s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyTypeFilter,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:40,10.211s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:30,2018-09-18 09:53:31,0.620s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:53:31,2018-09-18 09:53:31,0.218s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:53:31,2018-09-18 09:53:33,2.147s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:33,2018-09-18 09:53:33,0.034s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:33,2018-09-18 09:53:34,0.187s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:34,2018-09-18 09:53:34,0.093s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:34,2018-09-18 09:53:34,0.205s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:53:34,2018-09-18 09:53:37,3.469s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:37,2018-09-18 09:53:37,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:37,2018-09-18 09:53:37,0.156s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:37,2018-09-18 09:53:38,0.071s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.073s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.132s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.016s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.092s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.021s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:38,0.122s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:38,2018-09-18 09:53:39,0.626s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.094s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.019s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.115s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.086s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.107s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.015s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.073s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:39,0.099s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:39,2018-09-18 09:53:40,1.030s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:40,2018-09-18 09:53:40,0.070s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:40,2018-09-18 09:53:40,0.017s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:40,2018-09-18 09:53:40,0.079s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyAmountFilter,Chrome 68.0.3440.106,,2018-09-18 09:53:40,2018-09-18 09:53:49,8.429s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 09:53:41,2018-09-18 09:53:41,0.696s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 09:53:41,2018-09-18 09:53:41,0.215s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 09:53:41,2018-09-18 09:53:44,2.854s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:44,2018-09-18 09:53:44,0.014s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:44,2018-09-18 09:53:44,0.157s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:44,2018-09-18 09:53:45,0.084s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:45,2018-09-18 09:53:45,0.203s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 09:53:45,2018-09-18 09:53:48,3.180s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.142s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.074s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.085s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.015s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:48,0.065s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:48,2018-09-18 09:53:49,0.248s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 09:53:49,2018-09-18 09:53:49,0.062s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:49,2018-09-18 09:53:49,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 09:53:49,2018-09-18 09:53:49,0.085s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 09:53:49,2018-09-18 09:53:49,0.023s,PASSED
getText,Chrome 68.0.3440.106,,2018-09-18 09:53:49,2018-09-18 09:53:49,0.038s,PASSED
